datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-04-21 13:30:00+05:00,879.0,902.2570278358526,879.59
2025-04-27 12:00:00+05:00,906.0,902.2570278358526,906.3533333333334
2025-07-13 14:00:00+05:00,745.0,709.0781963006932,714.4866666666667
2025-10-19 06:45:00+05:00,85.0,59.20479380292589,83.88
2025-03-11 16:30:00+05:00,264.0,324.70185457945274,266.7133333333333
2025-08-19 08:00:00+05:00,172.0,170.15878935132517,177.54
2025-01-01 09:15:00+05:00,463.0,418.8146186606843,464.3566666666667
2025-08-24 16:00:00+05:00,119.0,146.38293316238247,146.35666666666665
2025-03-09 17:00:00+05:00,129.0,184.02803879487507,128.04666666666665
2025-01-10 14:45:00+05:00,460.0,505.00209734560156,458.18333333333334
2025-02-05 07:15:00+05:00,98.0,60.19545447746517,94.86
2025-01-29 07:45:00+05:00,154.0,129.54170169521473,173.88333333333333
2025-09-03 09:45:00+05:00,238.0,222.66380510190697,234.51666666666668
2025-10-17 13:45:00+05:00,431.0,457.45038496771616,422.9766666666667
2025-06-09 11:00:00+05:00,866.0,845.7893693871138,857.0766666666667
2025-06-02 11:15:00+05:00,772.0,785.3590682402175,804.1166666666667
2025-01-26 09:15:00+05:00,494.0,446.5531175477841,494.1333333333333
2025-09-16 13:15:00+05:00,433.0,497.07681194928733,494.96
2025-08-13 17:15:00+05:00,68.0,84.96197134094716,68.45333333333333
2025-06-25 17:30:00+05:00,65.0,86.94329269002571,61.31666666666667
2025-04-29 16:30:00+05:00,94.0,67.13007919924013,56.92
2025-09-09 13:00:00+05:00,738.0,638.7412884084042,654.54
2025-03-21 09:45:00+05:00,684.0,639.7319490829436,687.6633333333333
2025-03-02 10:45:00+05:00,759.0,667.4704479700433,690.3433333333334
2025-05-10 12:30:00+05:00,740.0,762.5738727258142,701.2133333333334
2025-08-16 15:00:00+05:00,50.0,50.28884773207238,53.31333333333333
2025-04-03 07:45:00+05:00,109.0,61.186115152004454,72.01333333333334
2025-09-02 12:00:00+05:00,407.0,319.74855120675636,359.08666666666664
2025-06-01 08:30:00+05:00,568.0,515.8993647655336,564.5766666666667
2025-05-05 09:15:00+05:00,715.0,669.4517693191219,713.1566666666666
2025-08-18 13:30:00+05:00,370.0,344.5150680702383,350.45666666666665
2025-04-06 12:15:00+05:00,994.0,905.6005076124227,977.4833333333333
2025-02-18 15:15:00+05:00,499.0,547.6005063507905,500.4533333333333
2025-06-11 06:15:00+05:00,55.0,38.40091963760103,59.16
2025-09-02 15:45:00+05:00,100.0,99.82188145903635,86.19333333333333
2025-01-12 09:15:00+05:00,262.0,227.61710847460338,269.37666666666667
2025-08-02 14:15:00+05:00,531.0,650.6292165028756,548.41
2025-01-30 16:00:00+05:00,238.0,289.0380702960387,233.73666666666668
2025-05-22 09:00:00+05:00,197.0,209.78521633289634,199.73
